"Term","CRN","Subject","Number","Section","Title","Campus","Enrollment","Capacity","Credit Hours","Delivery","Estimated Fees","Business Surcharge","Meeting Days","Meeting Times","Meeting Locations","Meeting Dates","Instructors","Description","Cross-List Sections","Course Level","Special Approval","Grade Mode","Additional Notes","Attribute Description"
"202620","10049","CHM","111","  A","Chemistry In Modern Society","Oxford","185","240","3","Face-to-Face","None","None","TR|T","10:05am-11:25am|10:15am-12:15pm","HUG 100|HUG 100","01/26-05/08|05/12-05/12","Shope, Brielle; Sanders-Johnson, Miranda","111 Chemistry in Modern Society (4)

For non-science majors. Considers both nature of basic chemical processes and ways that chemistry affects our society. Introduction to how scientists approach problems and make decisions. 3 Lec. IVB. PA-2B. CAS-D, CAS-QL.","None","Undergraduate","None","Standard Letter","None","CASD - Natural Science (CASD); CAS - Quantitative Literacy (CASQ); FND - Physical Science (IVB);  PA - Natural Sciences (PA2B); Ohio Transfer 36 Course (TM)"
"202620","10050","CHM","111L","  A","Chemistry Mod Soc Laboratory","Oxford","234","235","1","Online Asynchronous","$30.00 - $31.50","None","","","WEB ","01/26-05/08","Page, Jill","111L Chemistry in Modern Society Laboratory (1)

Laboratory course for non-science majors. Students will explore basic chemistry principles that are relevant in everyday life through observation and data analysis. Emphasis will be placed on activities and assessments that develop quantitative reasoning skills and critical thinking with a focus on application to global issues and the development of civic-mindedness. 1 Lab. IVB. PA-2B. CAS-D/LAB, CAS-QL.","None","Undergraduate","None","Standard Letter","None","CASD - Natural Science (CASD); CAS - Quantitative Literacy (CASQ); FND - Physical Science (IVB);  PA - Natural Sciences (PA2B); Ohio Transfer 36 Course (TM); Online Asynchronous (ONLA)"
"202620","13939","CHM","131","  A","Chemistry Of Life Processes","Oxford","137","184","4","Face-to-Face","None","None","MWR|W","10:05am-11:20am|10:15am-12:15pm","PSN 128|PSN 128","01/26-05/08|05/13-05/13","Jessa, Yasmin","131 Chemistry of Life Processes (4)

Integrated lecture and laboratory course for non-science majors that relate basic inorganic and organic chemical processes to those of biochemistry. Explores the nature of atoms and molecules in terms of simple structures and reactions, and the more complex structures of biochemical molecules and their interactions with living systems. IVB, LAB. PA-2B. CAS-D/LAB. Prerequisite: introductory high school physical science and algebra or CHM 109.","None","Undergraduate","None","Standard Letter","None","CASD - Natural Science (CASD); FND - Physical Science (IVB);  PA - Natural Sciences (PA2B)"
"202620","13940","CHM","131L","  A","Chemistry Of Life Processe Lab","Oxford","82","90","0","Face-to-Face","None","None","F","10:05am-11:55am","HUG 272","01/26-05/08","Jessa, Yasmin","None","None","Undergraduate","None","Standard Letter","None","FND - Physical Science (IVB);  PA - Natural Sciences (PA2B)"
"202620","16258","CHM","131L","  B","Chemistry Of Life Processe Lab","Oxford","55","90","0","Face-to-Face","None","None","F","10:05am-11:55am","HUG 272","01/26-05/08","Jessa, Yasmin","None","None","Undergraduate","None","Standard Letter","None","PA - Natural Sciences (PA2B); FND - Physical Science (IVB)"
"202620","10051","CHM","141","  A","College Chemistry","Oxford","197","240","3","Face-to-Face","None","None","MWF|M","1:15pm-2:10pm|12:45pm-2:45pm","HUG 100|HUG 100","01/26-05/08|05/11-05/11","Sanders-Johnson, Miranda","141 College Chemistry (3)

General chemistry lecture course. Examines the fundamentals of atomic and molecular structure, chemical reactions and stoichiometry, properties of solutions, thermochemistry, gases, and chemical bonding.  Students also develop ideas, experience, methodology, and skills used in the application of scientific methodology. Credit not given for both CHM 141R and 141. IVB. PA-2B. CAS-D. Prerequisite: A math ACT score of 22 (or SAT math sub-score 530) or higher, or completion of MTH 025, or MTH 122 or MTH 125 or MTH 151, or Miami Math Placement Test score of 8 or higher, or permission of instructor; high school chemistry is recommended.","None","Undergraduate","None","Standard Letter","None","CASD - Natural Science (CASD); FND - Physical Science (IVB);  PA - Natural Sciences (PA2B); TAG Course (TG); Ohio Transfer 36 Course (TM)"
"202620","11955","CHM","142","  A","College Chemistry","Oxford","133","240","3","Face-to-Face","None","None","MWF|M|M|M|M|M|M|M","8:30am-9:25am|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm","HUG 100|LWS 100|HUG 141|HUG 161|PSYC 125|HUG 100|PSN 128|KRG 319","01/26-05/08|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11","Eilers, Markus","142 College Chemistry (3)

In this follow-up to CHM 141, students will continue their study of the properties of solutions, thermodynamics, and acids and basis. The course also explores chemical kinetics, chemical equilibrium, coordination chemistry and electrochemistry. Prerequisite: CHM 141. Co-requisite: CHM 145.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","10052","CHM","142","  B","College Chemistry","Oxford","193","240","3","Face-to-Face","None","None","MWF|M|M|M|M|M|M|M","10:05am-11:00am|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm","HUG 100|HUG 141|HUG 161|LWS 100|PSN 128|PSYC 125|KRG 319|HUG 100","01/26-05/08|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11","Eilers, Markus","142 College Chemistry (3)

In this follow-up to CHM 141, students will continue their study of the properties of solutions, thermodynamics, and acids and basis. The course also explores chemical kinetics, chemical equilibrium, coordination chemistry and electrochemistry. Prerequisite: CHM 141. Co-requisite: CHM 145.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","13480","CHM","142","  C","College Chemistry","Oxford","188","240","3","Face-to-Face","None","None","MWF|M|M|M|M|M|M|M","11:40am-12:35pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm","HUG 100|HUG 141|HUG 161|LWS 100|PSN 128|PSYC 125|KRG 319|HUG 100","01/26-05/08|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11","Sikma, Ronald","142 College Chemistry (3)

In this follow-up to CHM 141, students will continue their study of the properties of solutions, thermodynamics, and acids and basis. The course also explores chemical kinetics, chemical equilibrium, coordination chemistry and electrochemistry. Prerequisite: CHM 141. Co-requisite: CHM 145.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","10691","CHM","142H","  A","College Chemistry","Oxford","62","57","3","Face-to-Face","None","None","MWF|M|M|M|M|M|M|M","11:40am-12:35pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm","HUG 141|LWS 100|HUG 141|HUG 161|PSN 128|HUG 100|KRG 319|PSYC 125","01/26-05/08|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11","Yehl, Kevin","142H College Chemistry (3)

In this follow-up to CHM 141, students will continue their study of the properties of solutions, thermodynamics, and acids and basis.  The course also explores chemical kinetics, chemical equilibrium, coordination chemistry and electrochemistry. Prerequisite: CHM 141. Co-requisite: CHM 145.","None","Undergraduate","None","Standard Letter/Research","Honors contract course. Stacked with 10053, CHM for majors. In this follow-up to CHM 141, students will continue their study of the properties of solutions, thermodynamics, and acids and basis. The course also explores chemical kinetics, chemical equilibrium, coordination chemistry and electrochemistry.","Honors Course (HONC); TAG Course (TG)"
"202620","10053","CHM","142M","  A","Col Chemistry For Chem Majors","Oxford","19","90","3","Face-to-Face","None","None","MWF|M|M|M|M|M|M|M","11:40am-12:35pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm|10:15am-12:15pm","HUG 141|LWS 100|PSN 128|KRG 319|PSYC 125|HUG 100|HUG 161|HUG 141","01/26-05/08|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11|05/11-05/11","Yehl, Kevin","142M College Chemistry for Majors (3)

Covers the same content as CHM 142, but assumes interest in chemistry as a major (See CHM 142). Credit not given for both 142M and 142. Prerequisite: CHM 141. Co-requisite: CHM 145M.","None","Undergraduate","None","Standard Letter","None","None"
"202620","10950","CHM","144","  A","College Chemistry Laboratory","Oxford","159","160","2","Face-to-Face","$30.00 - $31.50","None","R|T|T","1:15pm-4:05pm|12:45pm-2:45pm|12:45pm-2:45pm","HUG 172|HUG 141|HUG 100","01/26-05/08|05/12-05/12|05/12-05/12","Sanders-Johnson, Miranda","144 College Chemistry Laboratory (2)

Presents laboratory exercises to illustrate the fundamental principles of chemistry. An emphasis will be placed on safety, laboratory skills, techniques for simple quantitative measurements and the use of modern instrumentation for data collection and analysis. Students will also gain skills in developing hypotheses, observing chemical phenomena, collecting and sharing data and evaluating results critically. IVB. PA-2B. CAS-D/LAB. Prerequisite or Co-requisite: CHM 141.","None","Undergraduate","None","Standard Letter","None","CASD - Natural Science (CASD); FND - Physical Science (IVB);  PA - Natural Sciences (PA2B); Top 25 (T25); TAG Course (TG); Ohio Transfer 36 Course (TM)"
"202620","10585","CHM","145","  A","College Chemistry Laboratory","Oxford","116","168","2","Face-to-Face","$30.00 - $31.50","None","M|W|W|W|W","1:15pm-4:05pm|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am","HUG 172|FSB 1000|HUG 100|LWS 100|SHD 152","01/26-05/08|05/13-05/13|05/13-05/13|05/13-05/13|05/13-05/13","Jessa, Yasmin","145 College Chemistry Laboratory (2)

Presents laboratory exercises to illustrate the fundamental principles of chemistry. In this follow-up to CHM 144, students will continue working on their laboratory skills, using techniques for quantitative measurements and using modern instrumentation for data collection and analysis. Includes chemical kinetics, equilibrium, acids and bases, and electrochemistry. CAS-D/LAB. Prerequisite: CHM 144. Co-requisite: CHM 142 required.","None","Undergraduate","None","Standard Letter","None","Top 25 (T25); TAG Course (TG)"
"202620","10054","CHM","145","  B","College Chemistry Laboratory","Oxford","97","168","2","Face-to-Face","$30.00 - $31.50","None","T|W|W|W|W","8:00am-10:50am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am","HUG 172|HUG 100|LWS 100|FSB 1000|SHD 152","01/26-05/08|05/13-05/13|05/13-05/13|05/13-05/13|05/13-05/13","Rusinek, Cory","145 College Chemistry Laboratory (2)

Presents laboratory exercises to illustrate the fundamental principles of chemistry. In this follow-up to CHM 144, students will continue working on their laboratory skills, using techniques for quantitative measurements and using modern instrumentation for data collection and analysis. Includes chemical kinetics, equilibrium, acids and bases, and electrochemistry. CAS-D/LAB. Prerequisite: CHM 144. Co-requisite: CHM 142 required.","None","Undergraduate","None","Standard Letter","None","Top 25 (T25); TAG Course (TG)"
"202620","10055","CHM","145","  C","College Chemistry Laboratory","Oxford","168","168","2","Face-to-Face","$30.00 - $31.50","None","T|W|W|W|W","1:15pm-4:05pm|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am","HUG 172|FSB 1000|HUG 100|LWS 100|SHD 152","01/26-05/08|05/13-05/13|05/13-05/13|05/13-05/13|05/13-05/13","Shope, Brielle; Eilers, Markus","145 College Chemistry Laboratory (2)

Presents laboratory exercises to illustrate the fundamental principles of chemistry. In this follow-up to CHM 144, students will continue working on their laboratory skills, using techniques for quantitative measurements and using modern instrumentation for data collection and analysis. Includes chemical kinetics, equilibrium, acids and bases, and electrochemistry. CAS-D/LAB. Prerequisite: CHM 144. Co-requisite: CHM 142 required.","None","Undergraduate","None","Standard Letter","None","Top 25 (T25); TAG Course (TG)"
"202620","11519","CHM","145","  D","College Chemistry Laboratory","Oxford","107","168","2","Face-to-Face","$30.00 - $31.50","None","W|W|W|W|W","1:15pm-4:05pm|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am","HUG 172|HUG 100|LWS 100|FSB 1000|SHD 152","01/26-05/08|05/13-05/13|05/13-05/13|05/13-05/13|05/13-05/13","Shope, Brielle; Yezierski, Ellen","145 College Chemistry Laboratory (2)

Presents laboratory exercises to illustrate the fundamental principles of chemistry. In this follow-up to CHM 144, students will continue working on their laboratory skills, using techniques for quantitative measurements and using modern instrumentation for data collection and analysis. Includes chemical kinetics, equilibrium, acids and bases, and electrochemistry. CAS-D/LAB. Prerequisite: CHM 144. Co-requisite: CHM 142 required.","None","Undergraduate","None","Standard Letter","None","Top 25 (T25); TAG Course (TG)"
"202620","13198","CHM","145","  E","College Chemistry Laboratory","Oxford","95","168","2","Face-to-Face","$30.00 - $31.50","None","R|W|W|W|W","8:00am-10:50am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am|8:00am-10:00am","HUG 172|HUG 100|LWS 100|FSB 1000|SHD 152","01/26-05/08|05/13-05/13|05/13-05/13|05/13-05/13|05/13-05/13","Page, Jill","145 College Chemistry Laboratory (2)

Presents laboratory exercises to illustrate the fundamental principles of chemistry. In this follow-up to CHM 144, students will continue working on their laboratory skills, using techniques for quantitative measurements and using modern instrumentation for data collection and analysis. Includes chemical kinetics, equilibrium, acids and bases, and electrochemistry. CAS-D/LAB. Prerequisite: CHM 144. Co-requisite: CHM 142 required.","None","Undergraduate","None","Standard Letter","None","Top 25 (T25); TAG Course (TG)"
"202620","10056","CHM","242","  A","Organic Chemistry","Oxford","252","255","3","Face-to-Face","None","None","MWF|F","8:30am-9:25am|8:00am-10:00am","LWS 100|LWS 100","01/26-05/08|05/15-05/15","Erb, Meredith","242 Organic Chemistry (3)

Study of stereochemistry and the reaction mechanisms of various types of organic compounds with examples of chemical reactions in biological systems. For premedical and pre-dental students and science majors including majors in chemistry or biochemistry. Prerequisite: CHM 241.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","10057","CHM","242","  B","Organic Chemistry","Oxford","115","240","3","Face-to-Face","None","None","MWF|W","11:40am-12:35pm|12:45pm-2:45pm","BEN 102|BEN 102","01/26-05/08|05/13-05/13","Cheng, Yukun","242 Organic Chemistry (3)

Study of stereochemistry and the reaction mechanisms of various types of organic compounds with examples of chemical reactions in biological systems. For premedical and pre-dental students and science majors including majors in chemistry or biochemistry. Prerequisite: CHM 241.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
"202620","10058","CHM","245","  A","Organic Chemistry Laboratory","Oxford","89","90","2","Face-to-Face","$30.00","None","M|F|F","1:15pm-4:10pm|10:15am-12:15pm|10:15am-12:15pm","HUG 272|BEN 102|LWS 100","01/26-05/08|05/15-05/15|05/15-05/15","Erb, Meredith","245 Organic Chemistry Laboratory (2)

Introduction to experimental techniques involved in synthesis, purification, and chemical identification of organic molecules. CAS-D/LAB. Prerequisite: CHM 244. Prerequisites or Co-requisite: CHM 242.","None","Undergraduate","None","Standard Letter","None","TAG Course (TG)"
